Country Name,Country Link
Algeria,https://data.unwomen.org/country/algeria
Angola,https://data.unwomen.org/country/angola
Benin,https://data.unwomen.org/country/benin
Botswana,https://data.unwomen.org/country/botswana
British Indian Ocean Territory,https://data.unwomen.org/country/british-indian-ocean-territory
Burkina Faso,https://data.unwomen.org/country/burkina-faso
Burundi,https://data.unwomen.org/country/burundi
Cabo Verde,https://data.unwomen.org/country/cabo-verde
Cameroon,https://data.unwomen.org/country/cameroon
Central African Republic,https://data.unwomen.org/country/central-african-republic
Chad,https://data.unwomen.org/country/chad
Comoros,https://data.unwomen.org/country/comoros
Congo,https://data.unwomen.org/country/congo
Côte d’Ivoire,https://data.unwomen.org/country/cote-divoire
Democratic Republic of the Congo,https://data.unwomen.org/country/democratic-republic-of-the-congo
Djibouti,https://data.unwomen.org/country/djibouti
Egypt,https://data.unwomen.org/country/egypt
Equatorial Guinea,https://data.unwomen.org/country/equatorial-guinea
Eritrea,https://data.unwomen.org/country/eritrea
Eswatini,https://data.unwomen.org/country/eswatini
Ethiopia,https://data.unwomen.org/country/ethiopia
French Southern Territories,https://data.unwomen.org/country/french-southern-territories
Gabon,https://data.unwomen.org/country/gabon
Gambia,https://data.unwomen.org/country/gambia
Ghana,https://data.unwomen.org/country/ghana
Guinea,https://data.unwomen.org/country/guinea
Guinea-Bissau,https://data.unwomen.org/country/guinea-bissau
Kenya,https://data.unwomen.org/country/kenya
Lesotho,https://data.unwomen.org/country/lesotho
Liberia,https://data.unwomen.org/country/liberia
Libya,https://data.unwomen.org/country/libya
Madagascar,https://data.unwomen.org/country/madagascar
Malawi,https://data.unwomen.org/country/malawi
Mali,https://data.unwomen.org/country/mali
Mauritania,https://data.unwomen.org/country/mauritania
Mauritius,https://data.unwomen.org/country/mauritius
Mayotte,https://data.unwomen.org/country/mayotte
Morocco,https://data.unwomen.org/country/morocco
Mozambique,https://data.unwomen.org/country/mozambique
Namibia,https://data.unwomen.org/country/namibia
Niger,https://data.unwomen.org/country/niger
Nigeria,https://data.unwomen.org/country/nigeria
Réunion,https://data.unwomen.org/country/reunion
Rwanda,https://data.unwomen.org/country/rwanda
Saint Helena,https://data.unwomen.org/country/saint-helena
Sao Tome and Principe,https://data.unwomen.org/country/sao-tome-and-principe
Senegal,https://data.unwomen.org/country/senegal
Seychelles,https://data.unwomen.org/country/seychelles
Sierra Leone,https://data.unwomen.org/country/sierra-leone
Somalia,https://data.unwomen.org/country/somalia
South Africa,https://data.unwomen.org/country/south-africa
South Sudan,https://data.unwomen.org/country/south-sudan
Sudan,https://data.unwomen.org/country/sudan
Togo,https://data.unwomen.org/country/togo
Tunisia,https://data.unwomen.org/country/tunisia
Uganda,https://data.unwomen.org/country/uganda
United Republic of Tanzania,https://data.unwomen.org/country/united-republic-of-tanzania
Western Sahara,https://data.unwomen.org/country/western-sahara
Zambia,https://data.unwomen.org/country/zambia
Zimbabwe,https://data.unwomen.org/country/zimbabwe
